time,kWh.mean_value
2024-01-03 05:00:00+04:00,0.0593
2024-01-03 18:00:00+04:00,0.1349
2024-01-04 07:00:00+04:00,0.461
2024-01-04 20:00:00+04:00,0.0092
2024-01-05 09:00:00+04:00,0.0409
2024-01-05 22:00:00+04:00,0.0026
2024-01-06 11:00:00+04:00,0.0051
2024-01-07 00:00:00+04:00,0.0034
2024-01-07 13:00:00+04:00,0.0043
2024-01-08 02:00:00+04:00,0.5702
2024-01-08 16:00:00+04:00,0.4014
2024-01-09 05:00:00+04:00,0.7472
2024-01-09 18:00:00+04:00,0.2829
2024-01-10 07:00:00+04:00,0.522
2024-01-10 20:00:00+04:00,0.4579
2024-01-11 22:00:00+04:00,0.0267
2024-01-12 11:00:00+04:00,0.0654
2024-01-13 00:00:00+04:00,0.0026
2024-01-13 13:00:00+04:00,0.0034
2024-01-14 02:00:00+04:00,0.0226
2024-01-14 15:00:00+04:00,0.0639
2024-01-15 04:00:00+04:00,0.6213
2024-01-15 17:00:00+04:00,0.1331
2024-01-16 06:00:00+04:00,0.5678
2024-01-16 20:00:00+04:00,0.4157
2024-01-17 09:00:00+04:00,0.8558
2024-01-17 22:00:00+04:00,0.5078
2024-01-18 11:00:00+04:00,0.9023
2024-01-19 00:00:00+04:00,0.0034
2024-01-19 13:00:00+04:00,0.0043
2024-01-20 02:00:00+04:00,0.004
2024-01-20 15:00:00+04:00,0.0028
2024-01-21 04:00:00+04:00,0.0927
2024-01-21 17:00:00+04:00,0.1194
2024-01-22 06:00:00+04:00,0.6756
2024-01-22 19:00:00+04:00,0.3604
2024-01-23 08:00:00+04:00,0.9662
2024-01-23 21:00:00+04:00,0.4486
2024-01-24 10:00:00+04:00,0.8656
2024-01-25 00:00:00+04:00,0.3637
2024-01-25 13:00:00+04:00,0.3796
2024-01-26 02:00:00+04:00,0.004
2024-01-26 15:00:00+04:00,0.0028
2024-01-27 04:00:00+04:00,0.0043
2024-01-27 17:00:00+04:00,0.0041
2024-01-28 06:00:00+04:00,0.0931
2024-01-28 19:00:00+04:00,0.3517
2024-01-29 08:00:00+04:00,1.0
2024-01-29 21:00:00+04:00,0.3169
2024-01-30 23:00:00+04:00,0.0316
2024-01-31 12:00:00+04:00,0.0017
2024-02-01 01:00:00+04:00,0.0009
2024-02-01 14:00:00+04:00,0.0009
2024-02-02 17:00:00+04:00,0.0
2024-02-03 06:00:00+04:00,0.0023
2024-02-03 19:00:00+04:00,0.0009
2024-02-04 08:00:00+04:00,0.0034
2024-02-04 21:00:00+04:00,0.4049
2024-02-05 10:00:00+04:00,0.9298
2024-02-05 23:00:00+04:00,0.5689
2024-02-06 12:00:00+04:00,0.5459
2024-02-07 01:00:00+04:00,0.6398
2024-02-07 14:00:00+04:00,0.2994
2024-02-08 03:00:00+04:00,0.6535
2024-02-08 16:00:00+04:00,0.4305
2024-02-09 05:00:00+04:00,0.0047
2024-02-09 18:00:00+04:00,0.0034
2024-02-10 08:00:00+04:00,0.0614
2024-02-10 21:00:00+04:00,0.1204
2024-02-11 10:00:00+04:00,0.1753
2024-02-11 23:00:00+04:00,0.2532
2024-02-12 12:00:00+04:00,0.3213
2024-02-13 01:00:00+04:00,0.4707
2024-02-13 14:00:00+04:00,0.4905
2024-02-14 03:00:00+04:00,0.6132
2024-02-14 16:00:00+04:00,0.2269
2024-02-15 05:00:00+04:00,0.8022
2024-02-15 18:00:00+04:00,0.7423
2024-02-16 07:00:00+04:00,0.006
2024-02-16 20:00:00+04:00,0.0034
2024-02-17 09:00:00+04:00,0.0768
2024-02-17 22:00:00+04:00,0.0584
2024-02-18 12:00:00+04:00,0.0825
2024-02-19 01:00:00+04:00,0.6149
2024-02-19 14:00:00+04:00,0.5894
2024-02-20 03:00:00+04:00,0.5606
2024-02-20 16:00:00+04:00,0.2028
2024-02-21 05:00:00+04:00,0.5963
2024-02-21 18:00:00+04:00,0.3955
2024-02-22 20:00:00+04:00,0.3365
2024-02-23 09:00:00+04:00,0.006
2024-02-23 22:00:00+04:00,0.0017
2024-02-24 11:00:00+04:00,0.0051
2024-02-25 00:00:00+04:00,0.0034
2024-02-25 13:00:00+04:00,0.0043
2024-02-26 02:00:00+04:00,0.6021
2024-02-26 16:00:00+04:00,0.2499
2024-02-27 05:00:00+04:00,0.6602
2024-02-27 18:00:00+04:00,0.28600000000000003
2024-02-28 07:00:00+04:00,0.8074
2024-02-28 20:00:00+04:00,0.3605
2024-02-29 09:00:00+04:00,0.8943
2024-02-29 22:00:00+04:00,0.0017
2024-03-01 11:00:00+04:00,0.0051
2024-03-02 00:00:00+04:00,0.0034
2024-03-02 13:00:00+04:00,0.0043
2024-03-03 02:00:00+04:00,0.1399
2024-03-03 15:00:00+04:00,0.0985
2024-03-04 04:00:00+04:00,0.5667
2024-03-04 17:00:00+04:00,0.2161
2024-03-05 06:00:00+04:00,0.6373
2024-03-05 20:00:00+04:00,0.3966
2024-03-06 09:00:00+04:00,0.9740000000000001
2024-03-06 22:00:00+04:00,0.2173
2024-03-07 11:00:00+04:00,0.3943
2024-03-08 00:00:00+04:00,0.0034
2024-03-08 13:00:00+04:00,0.0043
2024-03-09 02:00:00+04:00,0.0043
2024-03-09 15:00:00+04:00,0.0043
2024-03-10 04:00:00+04:00,0.0413
2024-03-10 17:00:00+04:00,0.0239
2024-03-11 06:00:00+04:00,0.0051
2024-03-11 19:00:00+04:00,0.0017
2024-03-12 08:00:00+04:00,0.0051
2024-03-12 21:00:00+04:00,0.0034
2024-03-13 10:00:00+04:00,0.0051
2024-03-14 00:00:00+04:00,0.115
2024-03-18 21:00:00+04:00,0.0597
2024-03-19 10:00:00+04:00,0.0028
2024-03-19 23:00:00+04:00,0.0034
2024-03-20 12:00:00+04:00,0.0051
2024-03-21 01:00:00+04:00,0.003
2024-03-21 14:00:00+04:00,0.0028
2024-03-22 04:00:00+04:00,0.0051
2024-03-22 17:00:00+04:00,0.003
2024-03-23 06:00:00+04:00,0.0051
2024-03-23 19:00:00+04:00,0.0034
2024-03-24 08:00:00+04:00,0.006
2024-03-24 21:00:00+04:00,0.0031
2024-03-25 10:00:00+04:00,0.0051
2024-03-25 23:00:00+04:00,0.0034
2024-03-26 12:00:00+04:00,0.0051
2024-03-27 01:00:00+04:00,0.003
2024-03-27 14:00:00+04:00,0.0028
2024-03-28 03:00:00+04:00,0.0043
2024-03-28 16:00:00+04:00,0.0028
2024-03-29 05:00:00+04:00,0.0043
2024-03-29 18:00:00+04:00,0.0034
2024-03-30 08:00:00+04:00,0.006
2024-03-30 21:00:00+04:00,0.003
2024-03-31 10:00:00+04:00,0.0021
2024-03-31 23:00:00+04:00,0.0034
2024-04-01 12:00:00+04:00,0.0051
2024-04-02 01:00:00+04:00,0.0034
2024-04-02 14:00:00+04:00,0.0043
2024-04-03 03:00:00+04:00,0.0043
2024-04-03 16:00:00+04:00,0.0028
2024-04-04 05:00:00+04:00,0.0051
2024-04-04 18:00:00+04:00,0.0034
2024-04-05 07:00:00+04:00,0.006
2024-04-05 20:00:00+04:00,0.0034
2024-04-06 09:00:00+04:00,0.0068
2024-04-06 22:00:00+04:00,0.0026
2024-04-07 12:00:00+04:00,0.0051
2024-04-08 01:00:00+04:00,0.0034
2024-04-08 14:00:00+04:00,0.0043
2024-04-09 03:00:00+04:00,0.0043
2024-04-09 16:00:00+04:00,0.0043
2024-04-10 05:00:00+04:00,0.0051
2024-04-10 18:00:00+04:00,0.0034
2024-04-11 07:00:00+04:00,0.006
2024-04-11 20:00:00+04:00,0.0034
2024-04-12 09:00:00+04:00,0.0068
2024-04-12 22:00:00+04:00,0.0026
2024-04-13 11:00:00+04:00,0.0051
2024-04-14 00:00:00+04:00,0.0034
2024-04-14 13:00:00+04:00,0.0028
2024-04-15 02:00:00+04:00,0.4531
2024-04-15 16:00:00+04:00,0.319
2024-04-16 05:00:00+04:00,0.0648
2024-04-16 18:00:00+04:00,0.0235
2024-04-17 07:00:00+04:00,0.0914
2024-04-17 20:00:00+04:00,0.1498
2024-04-18 09:00:00+04:00,0.4214
2024-04-18 22:00:00+04:00,0.0017
2024-04-19 11:00:00+04:00,0.0051
2024-04-20 00:00:00+04:00,0.0307
2024-04-20 13:00:00+04:00,0.0324
2024-04-21 02:00:00+04:00,0.0665
2024-04-21 15:00:00+04:00,0.1005
2024-04-22 04:00:00+04:00,0.4544
2024-04-22 17:00:00+04:00,0.1975
2024-04-23 06:00:00+04:00,0.6293
2024-04-23 20:00:00+04:00,0.359
2024-04-24 09:00:00+04:00,0.8259
2024-04-24 22:00:00+04:00,0.3807
2024-04-25 11:00:00+04:00,0.6871
2024-04-26 00:00:00+04:00,0.0034
2024-04-26 13:00:00+04:00,0.0028
2024-04-27 02:00:00+04:00,0.0572
2024-04-27 15:00:00+04:00,0.0307
2024-04-28 04:00:00+04:00,0.0456
2024-04-28 17:00:00+04:00,0.1372
2024-04-29 06:00:00+04:00,0.5086
2024-04-29 19:00:00+04:00,0.3158
2024-04-30 08:00:00+04:00,0.7892
2024-04-30 21:00:00+04:00,0.4806
2024-05-01 10:00:00+04:00,0.8871
2024-05-02 00:00:00+04:00,0.0473
2024-05-02 13:00:00+04:00,0.0392
2024-05-03 02:00:00+04:00,0.0043
2024-05-03 15:00:00+04:00,0.0043
2024-05-04 04:00:00+04:00,0.0765
2024-05-04 17:00:00+04:00,0.0475
2024-05-05 06:00:00+04:00,0.0994
2024-05-05 19:00:00+04:00,0.2747
2024-05-06 08:00:00+04:00,0.8693
2024-05-06 21:00:00+04:00,0.3632
2024-05-07 10:00:00+04:00,0.7163
2024-05-07 23:00:00+04:00,0.4694
2024-05-08 12:00:00+04:00,0.298
2024-05-09 01:00:00+04:00,0.5124
2024-05-09 14:00:00+04:00,0.3293
2024-05-10 04:00:00+04:00,0.0486
2024-05-10 17:00:00+04:00,0.0381
2024-05-11 06:00:00+04:00,0.078
2024-05-11 19:00:00+04:00,0.0422
2024-05-12 08:00:00+04:00,0.1089
2024-05-12 21:00:00+04:00,0.3666
2024-05-13 10:00:00+04:00,0.8029999999999999
2024-05-13 23:00:00+04:00,0.4544
2024-05-14 12:00:00+04:00,0.5965
2024-05-15 01:00:00+04:00,0.467
2024-05-15 14:00:00+04:00,0.2549
2024-05-16 03:00:00+04:00,0.4622
2024-05-16 16:00:00+04:00,0.2747
2024-05-17 05:00:00+04:00,0.0051
2024-05-17 18:00:00+04:00,0.0034
2024-05-18 08:00:00+04:00,0.006
2024-05-18 21:00:00+04:00,0.0017
2024-05-19 10:00:00+04:00,0.0038
2024-05-19 23:00:00+04:00,0.5647
2024-05-20 12:00:00+04:00,0.5314
2024-05-21 01:00:00+04:00,0.5363
2024-05-21 14:00:00+04:00,0.3361
2024-05-22 03:00:00+04:00,0.5773
2024-05-22 16:00:00+04:00,0.1881
2024-05-23 05:00:00+04:00,0.6644
2024-05-23 18:00:00+04:00,0.2674
2024-05-24 07:00:00+04:00,0.006
2024-05-24 20:00:00+04:00,0.0034
2024-05-25 09:00:00+04:00,0.0068
2024-05-25 22:00:00+04:00,0.0026
2024-05-26 12:00:00+04:00,0.0051
2024-05-27 01:00:00+04:00,0.4705
2024-05-27 14:00:00+04:00,0.3116
2024-05-28 03:00:00+04:00,0.5046
2024-05-28 16:00:00+04:00,0.171
2024-05-29 05:00:00+04:00,0.6568
2024-05-29 18:00:00+04:00,0.2836
2024-05-30 07:00:00+04:00,0.7726
2024-05-30 20:00:00+04:00,0.0017
2024-05-31 09:00:00+04:00,0.0068
2024-05-31 22:00:00+04:00,0.0192
2024-06-01 11:00:00+04:00,0.0976
2024-06-02 00:00:00+04:00,0.0382
2024-06-02 13:00:00+04:00,0.0392
2024-06-03 02:00:00+04:00,0.5334
2024-06-03 16:00:00+04:00,0.0459
2024-06-06 09:00:00+04:00,0.0919
2024-06-06 22:00:00+04:00,0.0017
2024-06-07 11:00:00+04:00,0.004
2024-06-08 00:00:00+04:00,0.0034
2024-06-08 13:00:00+04:00,0.0043
2024-06-09 02:00:00+04:00,0.0043
2024-06-09 15:00:00+04:00,0.0722
2024-06-10 04:00:00+04:00,0.5842
2024-06-10 17:00:00+04:00,0.2956
2024-06-11 06:00:00+04:00,0.7917
2024-06-11 20:00:00+04:00,0.39399999999999996
2024-06-12 09:00:00+04:00,0.9234
2024-06-12 22:00:00+04:00,0.4876
2024-06-13 11:00:00+04:00,0.91
2024-06-14 00:00:00+04:00,0.0038
2024-06-14 13:00:00+04:00,0.0043
2024-06-15 02:00:00+04:00,0.0324
2024-06-15 15:00:00+04:00,0.0216
2024-06-16 04:00:00+04:00,0.004
2024-06-16 17:00:00+04:00,0.0028
2024-06-17 06:00:00+04:00,0.0051
2024-06-17 19:00:00+04:00,0.0017
2024-06-18 08:00:00+04:00,0.0051
2024-06-18 21:00:00+04:00,0.0034
2024-06-19 10:00:00+04:00,0.0051
2024-06-20 00:00:00+04:00,0.1005
2024-06-20 13:00:00+04:00,0.0904
2024-06-21 02:00:00+04:00,0.0043
2024-06-21 15:00:00+04:00,0.0043
2024-06-22 04:00:00+04:00,0.004
2024-06-22 17:00:00+04:00,0.0028
2024-06-23 06:00:00+04:00,0.0409
2024-06-23 19:00:00+04:00,0.1578
2024-06-24 08:00:00+04:00,0.5234
2024-06-24 21:00:00+04:00,0.2757
2024-06-25 10:00:00+04:00,0.4606
2024-06-25 23:00:00+04:00,0.3514
2024-06-26 12:00:00+04:00,0.331
2024-06-27 01:00:00+04:00,0.4163
2024-06-27 14:00:00+04:00,0.2724
2024-06-28 04:00:00+04:00,0.004
2024-06-28 17:00:00+04:00,0.0028
2024-06-29 06:00:00+04:00,0.0051
2024-06-29 19:00:00+04:00,0.0162
2024-06-30 08:00:00+04:00,0.062
2024-06-30 21:00:00+04:00,0.385
2024-07-01 10:00:00+04:00,0.6537
2024-07-01 23:00:00+04:00,0.4187
2024-07-02 12:00:00+04:00,0.377
2024-07-03 01:00:00+04:00,0.4478
2024-07-03 14:00:00+04:00,0.1959
2024-07-04 03:00:00+04:00,0.3442
2024-07-04 16:00:00+04:00,0.1514
2024-07-05 05:00:00+04:00,0.006
2024-07-05 18:00:00+04:00,0.0034
2024-07-06 08:00:00+04:00,0.0051
2024-07-06 21:00:00+04:00,0.0017
2024-07-07 10:00:00+04:00,0.004
2024-07-07 23:00:00+04:00,0.3981
2024-07-08 12:00:00+04:00,0.4835
2024-07-09 01:00:00+04:00,0.4544
2024-07-09 14:00:00+04:00,0.2184
2024-07-10 03:00:00+04:00,0.4628
2024-07-10 16:00:00+04:00,0.2959
2024-07-11 05:00:00+04:00,0.5366
2024-07-11 18:00:00+04:00,0.2548
2024-07-12 07:00:00+04:00,0.0044
2024-07-12 20:00:00+04:00,0.0993
2024-07-13 09:00:00+04:00,0.2448
2024-07-13 22:00:00+04:00,0.0365
2024-07-14 12:00:00+04:00,0.0316
2024-07-15 01:00:00+04:00,0.3329
2024-07-15 01:00:01+04:00,0.5619108
2024-07-15 12:59:08+04:00,0.30326387
2024-07-16 00:58:15+04:00,0.45660532
2024-07-16 12:57:22+04:00,0.25334007
2024-07-17 00:56:29+04:00,0.42132008
2024-07-17 12:55:36+04:00,0.33080757
2024-07-18 00:54:43+04:00,0.49274233
2024-07-18 12:53:50+04:00,0.47554955
2024-07-19 00:52:57+04:00,0.0
2024-07-19 12:52:04+04:00,0.0070961240000000005
2024-07-20 00:51:11+04:00,0.0
2024-07-20 12:50:18+04:00,0.0
2024-07-21 00:49:25+04:00,0.0050197947
2024-07-21 12:48:32+04:00,0.003784192
2024-07-22 00:47:39+04:00,0.48712915
2024-07-22 12:46:46+04:00,0.41490665
2024-07-23 00:45:53+04:00,0.2996488
2024-07-23 12:45:00+04:00,0.34832397
2024-07-24 00:44:07+04:00,0.4142332
2024-07-24 12:43:15+04:00,0.17738119
2024-07-25 00:42:22+04:00,0.35521865
2024-07-25 12:41:29+04:00,0.27712494
2024-07-26 00:40:36+04:00,0.017289488000000002
2024-07-26 12:39:43+04:00,0.007077831999999999
2024-07-27 00:38:50+04:00,0.006872448000000001
2024-07-27 12:37:57+04:00,0.0037256058
2024-07-28 00:37:04+04:00,0.021707319
2024-07-28 12:36:11+04:00,0.0
2024-07-29 00:35:18+04:00,0.41219988
2024-07-29 12:34:25+04:00,0.424986
2024-07-30 00:33:32+04:00,0.26600009999999996
2024-07-30 12:32:39+04:00,0.20737784
2024-07-31 00:31:46+04:00,0.41447034
2024-07-31 12:30:53+04:00,0.3173287
2024-08-01 00:30:00+04:00,0.4114031
2024-08-01 12:29:07+04:00,0.4376527
2024-08-02 00:28:14+04:00,0.0
2024-08-02 12:27:21+04:00,0.0
2024-08-03 00:26:29+04:00,0.008179658000000001
2024-08-03 12:25:36+04:00,0.014944678000000001
2024-08-04 00:24:43+04:00,0.0
2024-08-04 12:23:50+04:00,0.0
2024-08-05 00:22:57+04:00,0.38767776
2024-08-05 12:22:04+04:00,0.33257374
2024-08-06 00:21:11+04:00,0.28581896
2024-08-06 12:20:18+04:00,0.36467347
2024-08-07 00:19:25+04:00,0.47180456
2024-08-07 12:18:32+04:00,0.36741075
2024-08-08 00:17:39+04:00,0.19978148
