time,kWh.mean_value
2024-01-01 14:00:00+04:00,0.7092
2024-01-02 03:00:00+04:00,0.1991
2024-01-02 16:00:00+04:00,0.509
2024-01-03 06:00:00+04:00,0.3108
2024-01-03 19:00:00+04:00,0.4758
2024-01-04 08:00:00+04:00,0.4187
2024-01-04 21:00:00+04:00,0.396
2024-01-05 10:00:00+04:00,0.5765
2024-01-05 23:00:00+04:00,0.3091
2024-01-06 12:00:00+04:00,0.6705
2024-01-07 01:00:00+04:00,0.2016
2024-01-07 14:00:00+04:00,0.4304
2024-01-09 06:00:00+04:00,0.3759
2024-01-09 19:00:00+04:00,0.5088
2024-01-10 08:00:00+04:00,0.4911
2024-01-10 21:00:00+04:00,0.418
2024-01-11 10:00:00+04:00,0.6248
2024-01-11 23:00:00+04:00,0.3207
2024-01-12 13:00:00+04:00,0.6558
2024-01-13 02:00:00+04:00,0.2577
2024-01-13 15:00:00+04:00,0.6372
2024-01-14 04:00:00+04:00,0.2201
2024-01-14 17:00:00+04:00,0.502
2024-01-15 06:00:00+04:00,0.3792
2024-01-15 19:00:00+04:00,0.5015
2024-01-16 08:00:00+04:00,0.5464
2024-01-16 22:00:00+04:00,0.415
2024-01-17 11:00:00+04:00,0.6374
2024-01-18 00:00:00+04:00,0.2805
2024-01-18 13:00:00+04:00,0.7398
2024-01-19 02:00:00+04:00,0.2284
2024-01-19 15:00:00+04:00,0.6362
2024-01-20 04:00:00+04:00,0.2642
2024-01-20 17:00:00+04:00,0.5398
2024-01-21 06:00:00+04:00,0.3562
2024-01-21 20:00:00+04:00,0.4406
2024-01-22 09:00:00+04:00,0.539
2024-01-22 22:00:00+04:00,0.3996
2024-01-23 11:00:00+04:00,0.736
2024-01-24 00:00:00+04:00,0.312
2024-01-24 13:00:00+04:00,0.7451
2024-01-25 02:00:00+04:00,0.2201
2024-01-25 15:00:00+04:00,0.7124
2024-01-26 05:00:00+04:00,0.2475
2024-01-26 18:00:00+04:00,0.4651
2024-01-27 07:00:00+04:00,0.4173
2024-01-27 20:00:00+04:00,0.4258
2024-01-28 09:00:00+04:00,0.5014
2024-01-28 22:00:00+04:00,0.302
2024-01-29 11:00:00+04:00,0.7208
2024-01-30 00:00:00+04:00,0.3288
2024-01-31 03:00:00+04:00,0.3591
2024-01-31 16:00:00+04:00,0.6529
2024-02-01 05:00:00+04:00,0.345
2024-02-01 18:00:00+04:00,0.6496
2024-02-02 07:00:00+04:00,0.3801
2024-02-02 20:00:00+04:00,0.4524
2024-02-03 09:00:00+04:00,0.4723
2024-02-03 22:00:00+04:00,0.3377
2024-02-04 12:00:00+04:00,0.6584
2024-02-05 01:00:00+04:00,0.2683
2024-02-05 14:00:00+04:00,0.8092
2024-02-06 03:00:00+04:00,0.2482
2024-02-06 16:00:00+04:00,0.7116
2024-02-07 05:00:00+04:00,0.3332
2024-02-07 18:00:00+04:00,0.5135
2024-02-08 07:00:00+04:00,0.4701
2024-02-08 21:00:00+04:00,0.4734
2024-02-09 10:00:00+04:00,0.4608
2024-02-09 23:00:00+04:00,0.3226
2024-02-10 12:00:00+04:00,0.5852
2024-02-11 01:00:00+04:00,0.2449
2024-02-11 14:00:00+04:00,0.7104
2024-02-12 03:00:00+04:00,0.2428
2024-02-12 16:00:00+04:00,0.6071
2024-02-13 06:00:00+04:00,0.402
2024-02-13 19:00:00+04:00,0.6041
2024-02-14 08:00:00+04:00,0.4947
2024-02-14 21:00:00+04:00,0.4522
2024-02-15 10:00:00+04:00,0.6158
2024-02-15 23:00:00+04:00,0.3584
2024-02-16 12:00:00+04:00,0.6424
2024-02-17 01:00:00+04:00,0.1961
2024-02-17 14:00:00+04:00,0.6689
2024-02-18 04:00:00+04:00,0.1925
2024-02-18 17:00:00+04:00,0.561
2024-02-19 06:00:00+04:00,0.3589
2024-02-19 19:00:00+04:00,0.4976
2024-02-20 08:00:00+04:00,0.4706
2024-02-20 21:00:00+04:00,0.3804
2024-02-21 10:00:00+04:00,0.6272
2024-02-21 23:00:00+04:00,0.2937
2024-02-22 13:00:00+04:00,0.6738
2024-02-23 02:00:00+04:00,0.1852
2024-02-23 15:00:00+04:00,0.62
2024-02-24 04:00:00+04:00,0.19899999999999998
2024-02-24 17:00:00+04:00,0.5267
2024-02-25 06:00:00+04:00,0.3206
2024-02-25 19:00:00+04:00,0.4349
2024-02-26 08:00:00+04:00,0.5286
2024-02-26 22:00:00+04:00,0.385
2024-02-27 11:00:00+04:00,0.6137
2024-02-28 00:00:00+04:00,0.2933
2024-02-28 13:00:00+04:00,0.7782
2024-02-29 02:00:00+04:00,0.1984
2024-02-29 15:00:00+04:00,0.6757
2024-03-01 04:00:00+04:00,0.2226
2024-03-01 17:00:00+04:00,0.5346
2024-03-02 06:00:00+04:00,0.3309
2024-03-02 20:00:00+04:00,0.4204
2024-03-03 09:00:00+04:00,0.4501
2024-03-03 22:00:00+04:00,0.3223
2024-03-04 11:00:00+04:00,0.6833
2024-03-05 00:00:00+04:00,0.2899
2024-03-05 13:00:00+04:00,0.7315
2024-03-06 02:00:00+04:00,0.2012
2024-03-06 15:00:00+04:00,0.6604
2024-03-07 05:00:00+04:00,0.273
2024-03-07 18:00:00+04:00,0.5137
2024-03-08 07:00:00+04:00,0.3975
2024-03-08 20:00:00+04:00,0.4243
2024-03-09 09:00:00+04:00,0.4747
2024-03-09 22:00:00+04:00,0.4537
2024-03-10 11:00:00+04:00,0.0255
2024-03-11 00:00:00+04:00,0.0
2024-03-11 14:00:00+04:00,0.4702
2024-03-12 03:00:00+04:00,0.17300000000000001
2024-03-12 16:00:00+04:00,0.5636
2024-03-13 05:00:00+04:00,0.2132
2024-03-13 18:00:00+04:00,0.4281
2024-03-14 07:00:00+04:00,0.3086
2024-03-14 20:00:00+04:00,0.3312
2024-03-15 09:00:00+04:00,0.4804
2024-03-15 22:00:00+04:00,0.2873
2024-03-16 12:00:00+04:00,0.5882
