time,kWh.mean_value
2024-01-01 01:00:00+04:00,0.1595
2024-01-01 14:00:00+04:00,0.1393
2024-01-02 03:00:00+04:00,0.10300000000000001
2024-01-02 16:00:00+04:00,0.1124
2024-01-03 05:00:00+04:00,0.1453
2024-01-03 18:00:00+04:00,0.0983
2024-01-04 07:00:00+04:00,0.1736
2024-01-04 20:00:00+04:00,0.0776
2024-01-05 09:00:00+04:00,0.2018
2024-01-05 22:00:00+04:00,0.0569
2024-01-06 11:00:00+04:00,0.1708
2024-01-07 00:00:00+04:00,0.0748
2024-01-07 13:00:00+04:00,0.1501
2024-01-08 02:00:00+04:00,0.2654
2024-01-08 16:00:00+04:00,0.2865
2024-01-09 05:00:00+04:00,0.154
2024-01-09 18:00:00+04:00,0.1204
2024-01-10 07:00:00+04:00,0.0443
2024-01-10 20:00:00+04:00,0.0614
2024-01-11 09:00:00+04:00,0.4455
2024-01-11 22:00:00+04:00,0.0993
2024-01-12 11:00:00+04:00,0.2324
2024-01-13 00:00:00+04:00,0.0959
2024-01-13 13:00:00+04:00,0.1901
2024-01-14 02:00:00+04:00,0.1474
2024-01-14 15:00:00+04:00,0.1653
2024-01-15 04:00:00+04:00,0.2117
2024-01-15 17:00:00+04:00,0.1603
2024-01-16 06:00:00+04:00,0.2609
2024-01-16 20:00:00+04:00,0.1312
2024-01-17 09:00:00+04:00,0.3448
2024-01-17 22:00:00+04:00,0.0973
2024-01-18 11:00:00+04:00,0.2718
2024-01-19 00:00:00+04:00,0.11
2024-01-19 13:00:00+04:00,0.2301
2024-01-20 02:00:00+04:00,0.163
2024-01-20 15:00:00+04:00,0.1937
2024-01-21 04:00:00+04:00,0.2018
2024-01-21 17:00:00+04:00,0.158
2024-01-22 06:00:00+04:00,0.4031
2024-01-22 19:00:00+04:00,0.2054
2024-01-23 08:00:00+04:00,0.2724
2024-01-23 21:00:00+04:00,0.1002
2024-01-24 10:00:00+04:00,0.3927
2024-01-25 00:00:00+04:00,0.0889
2024-01-25 13:00:00+04:00,0.2002
2024-01-26 02:00:00+04:00,0.1279
2024-01-26 15:00:00+04:00,0.1697
2024-01-27 04:00:00+04:00,0.1665
2024-01-27 17:00:00+04:00,0.142
2024-01-28 06:00:00+04:00,0.201
2024-01-28 19:00:00+04:00,0.1556
2024-01-29 08:00:00+04:00,0.4772
2024-01-29 21:00:00+04:00,0.1328
2024-01-30 23:00:00+04:00,0.5724
2024-01-31 12:00:00+04:00,0.8134
2024-02-01 01:00:00+04:00,0.1352
2024-02-01 14:00:00+04:00,0.1892
2024-02-02 04:00:00+04:00,0.1736
2024-02-02 17:00:00+04:00,0.1708
2024-02-03 06:00:00+04:00,0.2159
2024-02-03 19:00:00+04:00,0.1411
2024-02-04 08:00:00+04:00,0.2654
2024-02-04 21:00:00+04:00,0.1226
2024-02-05 10:00:00+04:00,0.7016
2024-02-05 23:00:00+04:00,0.7055
2024-02-07 01:00:00+04:00,0.9886
2024-02-08 03:00:00+04:00,0.2295
2024-02-08 16:00:00+04:00,0.212
2024-02-09 05:00:00+04:00,0.1944
2024-02-09 18:00:00+04:00,0.1336
2024-02-10 08:00:00+04:00,0.2301
2024-02-10 21:00:00+04:00,0.0839
2024-02-11 10:00:00+04:00,0.2516
2024-02-11 23:00:00+04:00,0.0748
2024-02-12 12:00:00+04:00,0.2214
2024-02-13 01:00:00+04:00,0.121
2024-02-13 14:00:00+04:00,0.1885
2024-02-14 03:00:00+04:00,0.1595
2024-02-14 16:00:00+04:00,0.1603
2024-02-15 05:00:00+04:00,0.1978
2024-02-15 18:00:00+04:00,0.1659
2024-02-16 07:00:00+04:00,0.223
2024-02-16 20:00:00+04:00,0.0983
2024-02-17 09:00:00+04:00,0.2608
2024-02-17 22:00:00+04:00,0.0606
2024-02-18 12:00:00+04:00,0.2105
2024-02-19 01:00:00+04:00,0.1912
2024-02-19 14:00:00+04:00,0.289
2024-02-20 03:00:00+04:00,0.5554
2024-02-20 16:00:00+04:00,0.5324
2024-02-21 05:00:00+04:00,0.7817
2024-02-21 18:00:00+04:00,0.4905
2024-02-22 07:00:00+04:00,0.223
2024-02-22 20:00:00+04:00,0.0955
2024-02-23 09:00:00+04:00,0.2544
2024-02-23 22:00:00+04:00,0.0787
2024-02-24 11:00:00+04:00,0.2234
2024-02-25 00:00:00+04:00,0.1077
2024-02-25 13:00:00+04:00,0.1885
2024-02-26 02:00:00+04:00,0.5444
2024-02-26 16:00:00+04:00,0.5548
2024-02-27 18:00:00+04:00,0.8207
2024-02-28 07:00:00+04:00,0.8190000000000001
2024-02-28 20:00:00+04:00,0.4281
2024-02-29 22:00:00+04:00,0.0536
2024-03-01 11:00:00+04:00,0.2118
2024-03-02 00:00:00+04:00,0.0942
2024-03-02 13:00:00+04:00,0.1902
2024-03-03 02:00:00+04:00,0.1242
2024-03-03 15:00:00+04:00,0.1578
2024-03-04 04:00:00+04:00,0.8598
2024-03-04 17:00:00+04:00,0.6095
2024-03-05 06:00:00+04:00,0.6038
2024-03-05 20:00:00+04:00,0.2832
2024-03-06 09:00:00+04:00,0.2265
2024-03-06 22:00:00+04:00,0.065
2024-03-07 11:00:00+04:00,0.2142
2024-03-08 00:00:00+04:00,0.0872
2024-03-08 13:00:00+04:00,0.1798
2024-03-09 02:00:00+04:00,0.1242
2024-03-09 15:00:00+04:00,0.1578
2024-03-10 04:00:00+04:00,0.1604
2024-03-10 17:00:00+04:00,0.1362
2024-03-11 06:00:00+04:00,0.1948
2024-03-11 19:00:00+04:00,0.1711
2024-03-12 08:00:00+04:00,0.4948
2024-03-12 21:00:00+04:00,0.4337
2024-03-13 10:00:00+04:00,0.9452
2024-03-14 00:00:00+04:00,0.3401
2024-03-14 13:00:00+04:00,0.5689
2024-03-15 02:00:00+04:00,0.1171
2024-03-15 15:00:00+04:00,0.1686
2024-03-16 04:00:00+04:00,0.1537
2024-03-16 17:00:00+04:00,0.1224
2024-03-17 06:00:00+04:00,0.1877
2024-03-17 19:00:00+04:00,0.2262
2024-03-18 08:00:00+04:00,0.9615
2024-03-18 21:00:00+04:00,0.4807
2024-03-19 10:00:00+04:00,0.9802
2024-03-19 23:00:00+04:00,0.3487
2024-03-20 12:00:00+04:00,0.6148
2024-03-21 01:00:00+04:00,0.11
2024-03-21 14:00:00+04:00,0.1568
2024-03-22 04:00:00+04:00,0.1537
2024-03-22 17:00:00+04:00,0.1401
2024-03-23 06:00:00+04:00,0.1806
2024-03-23 19:00:00+04:00,0.1146
2024-03-24 08:00:00+04:00,0.2201
2024-03-24 21:00:00+04:00,0.1301
2024-03-25 10:00:00+04:00,0.4403
2024-03-25 23:00:00+04:00,0.5445
2024-03-26 12:00:00+04:00,0.9462
2024-03-27 01:00:00+04:00,0.4139
2024-03-27 14:00:00+04:00,0.5424
2024-03-28 03:00:00+04:00,0.2953
2024-03-28 16:00:00+04:00,0.2512
2024-03-29 05:00:00+04:00,0.1806
2024-03-29 18:00:00+04:00,0.1146
2024-03-30 08:00:00+04:00,0.2201
2024-03-30 21:00:00+04:00,0.0446
2024-03-31 10:00:00+04:00,0.043
2024-03-31 23:00:00+04:00,0.0677
2024-04-01 12:00:00+04:00,0.201
2024-04-02 01:00:00+04:00,0.1074
2024-04-02 14:00:00+04:00,0.1794
2024-04-03 03:00:00+04:00,0.1383
2024-04-03 16:00:00+04:00,0.1339
2024-04-04 05:00:00+04:00,0.1736
2024-04-04 18:00:00+04:00,0.1109
2024-04-05 07:00:00+04:00,0.2089
2024-04-05 20:00:00+04:00,0.09300000000000001
2024-04-06 09:00:00+04:00,0.2467
2024-04-06 22:00:00+04:00,0.0536
2024-04-07 12:00:00+04:00,0.2118
2024-04-08 01:00:00+04:00,0.1005
2024-04-08 14:00:00+04:00,0.1683
2024-04-09 03:00:00+04:00,0.1312
2024-04-09 16:00:00+04:00,0.1404
2024-04-10 05:00:00+04:00,0.1736
2024-04-10 18:00:00+04:00,0.1254
2024-04-11 07:00:00+04:00,0.2018
